City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hawaiian paradise park,19.5933,-154.9731,24.46,92,100,2.57,US,1696097543
1,adamstown,-25.066,-130.1015,20.53,88,100,11.86,PN,1696097543
2,port-aux-francais,-49.35,70.2167,2.25,98,99,10.2,TF,1696097543
3,pitimbu,-7.4706,-34.8086,29.33,57,24,7.15,BR,1696097543
4,avarua,-21.2078,-159.775,25.03,94,75,4.12,CK,1696097175
5,saint-pierre,-21.3393,55.4781,22.82,83,0,2.57,RE,1696097544
6,raja,8.4596,25.678,22.99,94,78,0.97,SS,1696097544
7,ilulissat,69.2167,-51.1,1.01,64,75,1.54,GL,1696097544
8,madruga,22.9114,-81.8561,31.52,55,30,1.34,CU,1696097176
9,ust-nera,64.5667,143.2,-3.91,66,25,2.64,RU,1696097176
10,edinburgh of the seven seas,-37.0676,-12.3116,9.93,88,96,19.64,SH,1696097176
11,elliot lake,46.3834,-82.6331,21.82,55,48,2.87,CA,1696097177
12,grytviken,-54.2811,-36.5092,2.56,90,24,4.0,GS,1696097177
13,margate,51.3813,1.3862,17.17,75,77,1.79,GB,1696097149
14,nuuk,64.1835,-51.7216,4.34,70,20,3.6,GL,1696097060
15,college,64.8569,-147.8028,3.78,76,40,4.12,US,1696097546
16,bilibino,68.0546,166.4372,-6.69,97,100,2.19,RU,1696097546
17,egilsstadir,65.2653,-14.3948,5.95,87,100,2.57,IS,1696097546
18,surovikino,48.6078,42.8486,16.95,46,3,3.74,RU,1696097546
19,horasan,40.0458,42.1728,15.75,64,86,0.75,TR,1696097547
20,waitangi,-43.9535,-176.5597,9.04,56,97,14.42,NZ,1696097547
21,ladario,-19.0047,-57.6017,34.16,43,45,3.6,BR,1696097547
22,vila franca do campo,37.7167,-25.4333,22.16,99,100,3.04,PT,1696097548
23,lata,40.1629,-8.3327,24.57,44,4,1.03,PT,1696097548
24,onega,63.9061,38.1404,13.75,83,100,4.02,RU,1696097548
25,bovril,-31.3431,-59.4451,21.62,28,6,4.14,AR,1696097549
26,mogocha,53.7333,119.7667,2.64,79,27,0.89,RU,1696097549
27,wailua homesteads,22.0669,-159.378,26.44,86,40,5.14,US,1696097549
28,blackmans bay,-43.0167,147.3167,12.63,71,100,3.38,AU,1696097549
29,remire-montjoly,4.9167,-52.2667,34.02,46,0,5.14,GF,1696097549
30,kodiak,57.79,-152.4072,8.73,93,100,8.75,US,1696097550
31,kakunodatemachi,39.5833,140.5667,17.18,99,97,0.52,JP,1696097550
32,st. john's,47.5649,-52.7093,16.98,80,20,5.14,CA,1696097550
33,bethel,41.3712,-73.414,17.23,85,100,2.06,US,1696097314
34,nar'yan-mar,67.6713,53.087,7.28,89,100,8.49,RU,1696097551
35,arochukwu,5.3898,7.914,24.51,95,95,1.49,NG,1696097284
36,holualoa,19.6228,-155.9522,27.1,73,20,0.0,US,1696097551
37,bredasdorp,-34.5322,20.0403,11.38,73,8,2.65,ZA,1696097552
38,whitehorse,60.7161,-135.0538,4.34,100,75,2.57,CA,1696097552
39,alice springs,-23.7,133.8833,18.75,30,41,2.57,AU,1696097552
40,cassilandia,-19.1133,-51.7342,33.31,39,95,2.35,BR,1696097552
41,vrontados,38.4089,26.1328,23.92,53,0,5.14,GR,1696097552
42,rosarito,32.3333,-117.0333,21.54,75,89,3.09,MX,1696097403
43,chipinge,-20.1883,32.6236,23.46,44,31,3.16,ZW,1696097553
44,lagoa,39.05,-27.9833,20.16,72,4,4.78,PT,1696097553
45,nemuro,43.3236,145.575,16.62,82,100,9.03,JP,1696097553
46,hamilton,39.1834,-84.5333,27.55,60,40,2.57,US,1696097260
47,skeldon,5.8833,-57.1333,35.29,41,27,3.78,GY,1696097554
48,langarud,37.197,50.1535,21.24,75,69,0.88,IR,1696097554
49,fort irwin,35.2627,-116.6848,20.9,59,100,12.35,US,1696097554
50,ushuaia,-54.8,-68.3,9.62,71,100,4.19,AR,1696097555
51,gobabis,-22.45,18.9667,25.04,10,0,4.52,NA,1696097555
52,tiksi,71.6872,128.8694,-2.01,90,100,5.15,RU,1696097555
53,taltal,-25.4,-70.4833,15.68,74,19,2.23,CL,1696097555
54,arish,31.1316,33.7984,26.83,66,19,2.57,EG,1696097556
55,port elizabeth,-33.918,25.5701,14.16,78,0,9.26,ZA,1696097556
56,iqaluit,63.7506,-68.5145,1.85,100,100,9.77,CA,1696097556
57,albany,42.6001,-73.9662,19.1,92,99,0.45,US,1696097353
58,taulaga,-11.0553,-171.0883,27.57,80,10,5.05,AS,1696097537
59,touros,-5.1989,-35.4608,25.99,76,38,10.98,BR,1696097557
60,kalevala,65.2,31.1667,10.95,95,100,1.44,RU,1696097557
61,tamandare,-8.7597,-35.1047,28.0,53,43,4.46,BR,1696097557
62,haiku-pauwela,20.9219,-156.3051,26.69,68,20,5.66,US,1696097557
63,anadyr,64.75,177.4833,-1.72,79,20,7.0,RU,1696097558
64,puerto ayora,-0.7393,-90.3518,27.98,88,100,4.02,EC,1696097558
65,jamestown,42.097,-79.2353,23.9,72,100,2.57,US,1696097488
66,bedarieux,43.6155,3.1571,27.62,63,1,2.66,FR,1696097558
67,ad darb,17.7229,42.2526,31.41,66,6,1.12,SA,1696097558
68,margaret river,-33.95,115.0667,14.71,73,89,6.45,AU,1696097559
69,katsuura,35.1333,140.3,25.89,84,49,9.04,JP,1696097360
70,baoding,38.8511,115.4903,14.68,54,4,2.9,CN,1696097381
71,bhamo,24.2667,97.2333,24.67,99,65,1.02,MM,1696097559
72,nabire,-3.3667,135.4833,26.32,82,100,3.84,ID,1696097560
73,batesville,35.7698,-91.641,34.23,37,0,1.54,US,1696097410
74,hermanus,-34.4187,19.2345,12.21,76,21,0.93,ZA,1696097560
75,conceicao do araguaia,-8.2578,-49.2647,34.55,33,46,2.38,BR,1696097560
76,yellowknife,62.456,-114.3525,8.56,62,75,2.57,CA,1696097561
77,papatowai,-46.5619,169.4708,6.82,72,94,3.5,NZ,1696097561
78,hue,16.4667,107.6,27.06,94,40,1.03,VN,1696097561
79,gamba,-2.65,10.0,24.66,88,84,3.58,GA,1696097561
80,tomakomai,42.6369,141.6033,16.76,100,75,5.14,JP,1696097562
81,casper,42.8666,-106.3131,27.62,14,0,10.29,US,1696097517
82,petropavlovsk-kamchatsky,53.0452,158.6483,5.28,80,100,0.89,RU,1696097562
83,kilindoni,-7.9139,39.6668,25.23,76,6,6.29,TZ,1696097562
84,mil'kovo,55.6078,37.7956,18.22,56,56,3.38,RU,1696097562
85,kourou,5.1552,-52.6478,34.03,57,37,4.36,GF,1696097563
86,gambiran satu,-8.3939,114.1464,20.8,96,94,1.0,ID,1696097563
87,viedma,-40.8135,-62.9967,17.88,19,0,2.55,AR,1696097563
88,kuusamo,65.9667,29.1833,11.02,100,20,0.51,FI,1696097563
89,ribeira grande,38.5167,-28.7,23.22,64,20,4.92,PT,1696097563
90,kuta,-8.7233,115.1723,25.0,94,40,2.68,ID,1696097564
91,tahara,34.6667,137.2667,25.97,50,43,2.08,JP,1696097564
92,sitka,57.0531,-135.33,9.94,81,100,3.6,US,1696097440
93,kambove,-10.8764,26.5969,27.79,26,26,3.25,CD,1696097564
94,kailua-kona,19.6406,-155.9956,29.17,73,20,0.0,US,1696097564
95,kapuskasing,49.4169,-82.4331,18.05,77,100,2.57,CA,1696097565
96,san antonio oeste,-40.7319,-64.9477,18.53,21,0,5.43,AR,1696097459
97,igarka,67.4667,86.5833,-6.47,89,99,6.96,RU,1696097565
98,port blair,11.6667,92.75,26.93,83,91,6.63,IN,1696097565
99,ponta delgada,37.7333,-25.6667,22.33,83,75,5.14,PT,1696097566
100,sambava,-14.2667,50.1667,19.92,99,4,1.16,MG,1696097566
101,carnarvon,-24.8667,113.6333,19.35,75,0,8.69,AU,1696097566
102,north platte,41.1239,-100.7654,26.94,52,0,3.6,US,1696097345
103,ulladulla,-35.35,150.4667,16.61,43,36,2.3,AU,1696097566
104,west island,-12.1568,96.8225,25.99,78,100,7.2,CC,1696097567
105,qaqortoq,60.7167,-46.0333,3.32,79,81,0.83,GL,1696097567
106,puerto natales,-51.7236,-72.4875,16.25,36,100,9.77,CL,1696097568
107,somerset,40.5668,-74.5496,20.16,80,91,0.89,US,1696097395
108,tadine,-21.55,167.8833,20.25,63,52,7.13,NC,1696097568
109,stanley,54.868,-1.6985,12.01,93,75,2.57,GB,1696097568
110,lingig,8.0389,126.4125,25.9,85,100,0.91,PH,1696097568
111,vilyuchinsk,52.9306,158.4028,6.07,68,100,0.92,RU,1696097540
112,jinghong,21.991,100.7341,21.09,99,52,0.39,CN,1696097569
113,san antonio,29.4241,-98.4936,34.25,50,20,5.66,US,1696097432
114,shiprock,36.7855,-108.687,28.19,19,25,7.37,US,1696097569
115,pangai,-19.8,-174.35,22.06,73,40,2.57,TO,1696097569
116,nyamira,-0.6318,34.6443,19.26,67,90,0.8,KE,1696097570
117,pangody,65.85,74.4859,0.93,73,100,5.29,RU,1696097570
118,puerto deseado,-47.7503,-65.8938,12.11,53,63,15.12,AR,1696097570
119,sao felix do xingu,-6.6447,-51.995,40.28,19,31,0.27,BR,1696097570
120,peterhead,57.5058,-1.7981,11.36,87,100,8.1,GB,1696097571
121,vadso,70.0744,29.7487,7.49,87,100,1.54,NO,1696097571
122,talnakh,69.4865,88.3972,-6.55,91,10,2.96,RU,1696097571
123,iskateley,67.6803,53.1512,7.23,89,100,8.49,RU,1696097571
124,cabinda,-5.55,12.2,24.32,82,79,4.12,AO,1696097571
125,nova vicosa,-17.8919,-39.3719,24.26,75,98,5.12,BR,1696097572
126,yatou,37.15,122.3833,14.81,64,2,1.62,CN,1696097572
127,zouerate,22.7187,-12.4521,36.06,11,79,7.21,MR,1696097461
128,praia da vitoria,38.7333,-27.0667,23.14,73,20,3.92,PT,1696097572
129,yuzhno-kurilsk,44.0306,145.8556,16.32,81,99,4.94,RU,1696097573
130,georgetown,5.4112,100.3354,26.96,89,20,0.51,MY,1696097444
131,vorkuta,67.5,64.0,2.25,92,100,8.29,RU,1696097573
132,kiunga,-6.1219,141.2906,22.98,99,100,1.22,PG,1696097573
133,filey,54.21,-0.2892,13.21,87,100,1.34,GB,1696097574
134,bagan,54.1001,77.6646,7.27,77,100,4.97,RU,1696097574
135,portland,45.5234,-122.6762,17.05,75,20,3.09,US,1696097384
136,labytnangi,66.6572,66.4183,3.92,73,100,4.79,RU,1696097575
137,taoudenni,22.6783,-3.9836,36.05,14,15,4.3,ML,1696097575
138,tolanaro,-25.0319,46.9987,22.21,90,27,4.94,MG,1696097575
139,nuku'alofa,-21.1333,-175.2,20.19,64,75,2.57,TO,1696097575
140,kingston,17.997,-76.7936,33.47,66,20,5.66,JM,1696097576
141,remchi,35.062,-1.4336,23.23,68,0,2.57,DZ,1696097576
142,horta,38.5333,-28.6333,22.8,73,20,4.92,PT,1696097576
143,amahai,-3.3333,128.9167,24.5,89,98,0.46,ID,1696097576
144,olonkinbyen,70.9221,-8.7187,1.13,71,99,5.08,SJ,1696097576
145,mcalester,34.9334,-95.7697,31.97,42,0,2.06,US,1696097577
146,kem',64.9555,34.5793,14.4,91,100,5.24,RU,1696097577
147,roma,43.2128,-75.4557,24.17,60,0,3.6,US,1696097577
148,lebu,-37.6167,-73.65,14.15,71,62,3.97,CL,1696097577
149,yaren,-0.5472,166.916,28.28,78,93,5.01,NR,1696097577
150,gorontalo,0.5412,123.0595,23.35,93,40,1.63,ID,1696097578
151,arno,60.1167,18.6333,12.1,72,35,4.89,SE,1696097578
152,yamada,39.4667,141.95,18.33,98,98,1.71,JP,1696097578
153,fale old settlement,-9.3852,-171.2468,28.31,72,93,2.23,TK,1696097578
154,queenstown,-31.8976,26.8753,13.26,71,77,3.34,ZA,1696097579
155,la ronge,55.1001,-105.2842,9.14,76,100,3.09,CA,1696097579
156,hotan,37.0997,79.9269,17.05,27,28,4.4,CN,1696097579
157,colonia,50.9333,6.95,17.19,73,0,2.06,DE,1696097579
158,erdenet,49.0333,104.0833,3.64,63,26,1.25,MN,1696097579
159,karratha,-20.7377,116.8463,28.27,25,23,6.03,AU,1696097580
160,marietta,33.9526,-84.5499,30.49,48,40,3.09,US,1696097514
161,phuthaditjhaba,-28.5242,28.8158,19.6,15,48,3.17,ZA,1696097580
162,fort bragg,35.139,-79.006,24.34,70,100,3.6,US,1696097580
163,freshwater,50.692,-1.5079,17.83,81,77,5.5,GB,1696097581
164,bengkulu,-3.8004,102.2655,22.46,94,22,2.52,ID,1696097581
165,kissidougou,9.1848,-10.0999,26.25,85,45,1.58,GN,1696097581
166,thompson,55.7435,-97.8558,13.09,82,75,3.09,CA,1696097582
167,longyearbyen,78.2186,15.6401,-3.09,59,40,4.63,SJ,1696097582
168,baiti,13.745,-14.7482,32.29,64,9,3.01,SN,1696097582
169,lamu,-2.2717,40.902,25.12,84,8,6.23,KE,1696097582
170,cuajinicuilapa,16.4667,-98.4167,34.07,50,23,1.98,MX,1696097530
171,invercargill,-46.4,168.35,6.12,83,99,1.79,NZ,1696097583
172,letterkenny,54.95,-7.7333,14.96,97,100,6.44,IE,1696097583
173,keflavik,64.0049,-22.5624,10.24,76,100,10.8,IS,1696097583
174,opuwo,-18.0607,13.84,25.87,20,2,4.56,NA,1696097583
175,kununurra,-15.7667,128.7333,23.99,64,90,4.12,AU,1696097583
176,dailekh,28.8333,81.6667,20.6,91,22,1.55,NP,1696097584
177,padangsidempuan,1.3667,99.2667,23.0,98,73,0.43,ID,1696097584
178,pacific grove,36.6177,-121.9166,16.97,85,100,4.63,US,1696097584
179,jambi city,-1.6,103.6167,23.92,90,54,1.11,ID,1696097585
180,fortuna,40.5982,-124.1573,16.19,91,100,5.14,US,1696097585
181,nampula,-15.1165,39.2666,26.97,47,0,5.14,MZ,1696097585
182,guanica,17.9716,-66.908,33.91,67,54,5.73,PR,1696097585
183,afaahiti,-17.75,-149.2833,25.93,85,41,7.54,PF,1696097586
184,susuman,62.7833,148.1667,-3.34,77,37,1.79,RU,1696097586
185,sedro-woolley,48.5039,-122.2361,15.17,88,100,0.0,US,1696097586
186,novodvinsk,64.4165,40.8122,13.77,89,93,3.58,RU,1696097586
187,utrik,11.2278,169.8474,27.09,83,97,4.35,MH,1696097586
188,aasiaat,68.7098,-52.8699,-0.59,84,100,3.8,GL,1696097587
189,kenai,60.5544,-151.2583,6.19,94,100,5.66,US,1696097587
190,belmonte,-15.8631,-38.8828,26.33,66,94,3.48,BR,1696097587
191,cartagena del chaira,1.3349,-74.8429,36.24,39,95,1.29,CO,1696097520
192,prainha,-1.8,-53.48,38.11,21,84,2.4,BR,1696097588
193,karoi,-16.8099,29.6925,25.02,43,100,4.64,ZW,1696097588
194,robore,-18.3333,-59.75,38.51,24,76,1.07,BO,1696097588
195,nyurba,63.2842,118.3319,9.46,63,100,4.02,RU,1696097588
196,chonchi,-42.6128,-73.8092,17.56,53,100,1.42,CL,1696097588
197,uturoa,-16.7333,-151.4333,26.0,79,9,9.05,PF,1696097589
198,bairnsdale,-37.8333,147.6167,15.59,47,53,3.41,AU,1696097589
199,mhamid,29.82,-5.72,32.49,13,0,4.46,MA,1696097589
200,menongue,-14.6585,17.691,23.38,44,75,2.18,AO,1696097589
201,chulym,55.0997,80.9572,0.56,81,56,3.08,RU,1696097590
202,kidal,18.4411,1.4078,35.24,19,33,4.25,ML,1696097590
203,amga,60.8953,131.9608,-2.23,67,75,0.45,RU,1696097590
204,nasiriyah,31.0521,46.261,32.86,17,0,6.46,IQ,1696097591
205,vuktyl,63.8567,57.3094,7.28,64,100,4.47,RU,1696097592
206,tura,25.5198,90.2201,23.12,93,85,1.47,IN,1696097555
207,punta arenas,-53.15,-70.9167,11.06,46,0,4.12,CL,1696097592
208,port mathurin,-19.6833,63.4167,23.09,79,37,11.14,MU,1696097593
209,atafu village,-8.5421,-172.5159,28.66,71,84,4.27,TK,1696097593
210,saipan,15.1355,145.701,26.39,89,75,3.6,MP,1696097593
211,east london,-33.0153,27.9116,14.52,82,40,9.77,ZA,1696097594
212,butembo,0.15,29.2833,17.16,76,19,1.74,CD,1696097594
213,san patricio,28.017,-97.5169,33.43,45,18,6.28,US,1696097594
214,namibe,-15.1961,12.1522,18.7,84,65,4.69,AO,1696097594
215,la paz,-16.5,-68.15,16.99,44,40,2.57,BO,1696097595
216,wamba,8.9333,8.6,23.72,89,71,0.95,NG,1696097595
217,san antonio de pale,-1.4014,5.6325,25.15,86,100,7.15,GQ,1696097595
218,kerikeri,-35.2268,173.9474,6.06,90,3,2.8,NZ,1696097596
219,kargasok,59.0556,80.8572,0.54,74,12,2.68,RU,1696097596
220,al mijlad,11.0333,27.7333,29.36,59,68,6.94,SD,1696097596
221,awjilah,29.1081,21.2869,26.85,34,78,2.8,LY,1696097596
222,castillos,-34.1667,-53.8333,15.26,55,5,3.15,UY,1696097597
223,maracaibo,10.6317,-71.6406,35.83,47,91,1.2,VE,1696097594
224,richards bay,-28.783,32.0377,21.05,78,38,9.48,ZA,1696097365
225,arrifes,37.7667,-25.7,21.07,83,75,5.14,PT,1696097597
226,kabalo,-6.05,26.9167,27.28,61,33,1.72,CD,1696097597
227,florence,43.7667,11.25,25.82,45,0,1.54,IT,1696097582
228,yemetsk,63.4721,41.7941,14.22,94,95,3.74,RU,1696097599
229,garissa,-0.4536,39.6401,27.99,55,19,10.55,KE,1696097599
230,ancud,-41.8697,-73.8203,9.27,78,100,4.3,CL,1696097600
231,mount gambier,-37.8333,140.7667,13.84,85,93,6.25,AU,1696097600
232,murun-kuren,49.6342,100.1625,4.46,59,26,1.47,MN,1696097600
233,barrie,44.4001,-79.6663,24.42,63,16,2.06,CA,1696097472
234,crane,31.3974,-102.3501,29.84,36,88,10.19,US,1696097601
235,enewetak,11.3474,162.3373,28.15,80,80,5.44,MH,1696097601
236,muisne,0.6,-80.0333,24.96,83,85,6.29,EC,1696097601
237,lihue,21.9789,-159.3672,26.77,85,40,5.14,US,1696097601
238,coquimbo,-29.9533,-71.3436,16.85,67,0,4.12,CL,1696097602
239,ghat,24.9647,10.1728,30.73,21,76,4.36,LY,1696097602
240,dingcheng,32.1272,115.0394,20.87,80,93,3.06,CN,1696097602
241,koutiala,12.3917,-5.4642,29.34,54,61,4.24,ML,1696097603
242,gisborne,-38.6533,178.0042,3.24,66,3,1.63,NZ,1696097603
243,puerto baquerizo moreno,-0.9,-89.6,26.55,69,75,4.63,EC,1696097603
244,new norfolk,-42.7826,147.0587,13.29,55,99,2.05,AU,1696097603
245,badger,64.8,-147.5333,3.73,73,0,4.12,US,1696097604
246,birjand,32.8663,59.2211,14.26,17,0,3.09,IR,1696097604
247,guerrero negro,27.9769,-114.0611,21.97,61,29,6.05,MX,1696097604
248,puerto lempira,15.2667,-83.7667,32.08,62,75,2.57,HN,1696097426
249,brookings,44.3114,-96.7984,26.19,78,20,4.63,US,1696097604
250,ad-damazin,11.7891,34.3592,26.88,73,67,3.04,SD,1696097421
251,kushiro,42.975,144.3747,16.2,93,100,4.97,JP,1696097605
252,maitum,6.0392,124.4986,25.88,79,97,1.15,PH,1696097605
253,molde,62.7375,7.1591,13.17,94,75,6.69,NO,1696097605
254,jutai,-5.1833,-68.9,32.05,66,85,0.32,BR,1696097606
255,al marj,32.488,20.8317,21.0,77,2,3.28,LY,1696097606
256,aberdeen,57.1437,-2.0981,11.48,94,40,4.12,GB,1696097606
257,daru,-9.0763,143.2092,24.39,88,100,6.9,PG,1696097419
258,pretoria,-25.7449,28.1878,25.41,31,1,1.03,ZA,1696097557
259,dryden,49.7833,-92.7503,18.16,63,0,4.12,CA,1696097607
260,konarka,19.9,86.1167,25.22,80,100,4.9,IN,1696097607
261,bodo,67.28,14.405,10.43,98,75,6.69,NO,1696097607
262,bikenibeu village,1.3673,173.1241,26.98,89,75,0.0,KI,1696097607
263,thunder bay,48.4001,-89.3168,18.99,77,75,3.09,CA,1696097608
264,necochea,-38.5473,-58.7368,11.12,69,75,9.08,AR,1696097608
265,miri,4.4148,114.0089,25.54,88,100,4.25,MY,1696097608
266,ulaangom,49.9811,92.0667,6.99,68,72,0.55,MN,1696097608
267,ganjam,19.3833,85.0667,27.15,84,100,1.63,IN,1696097608
268,ofunato,39.0717,141.7167,19.33,92,99,2.69,JP,1696097609
269,saa,4.3667,11.45,23.07,87,52,1.57,CM,1696097609
270,villamontes,-21.25,-63.5,31.17,20,53,2.69,BO,1696097609
271,lompoc,34.6391,-120.4579,20.56,66,100,6.26,US,1696097609
272,zaozersk,69.4005,32.4476,7.47,95,98,2.47,RU,1696097609
273,howrah,22.5892,88.3103,27.0,94,75,5.14,IN,1696097610
274,fort st. john,56.2499,-120.8529,4.94,100,100,4.63,CA,1696097610
275,ashti,19.3833,76.2333,25.26,84,94,2.33,IN,1696097610
276,north battleford,52.7834,-108.2847,10.05,81,100,2.57,CA,1696097610
277,riberalta,-10.9833,-66.1,34.11,52,40,2.57,BO,1696097611
278,cooper's town,26.8667,-77.5167,28.19,75,35,1.08,BS,1696097611
279,kangding,30.0513,101.9603,13.69,95,94,1.16,CN,1696097611
280,plettenberg bay,-34.0527,23.3716,13.56,73,91,6.37,ZA,1696097611
281,callao,-12.0667,-77.15,21.16,68,75,5.14,PE,1696097522
282,nadi,-17.8,177.4167,20.0,77,40,3.09,FJ,1696097612
283,palmer,42.1584,-72.3287,17.4,78,100,3.6,US,1696097485
284,weno,7.4515,151.8468,27.97,89,100,1.54,FM,1696097612
285,manistee,44.2445,-86.3242,24.47,74,100,4.63,US,1696097612
286,sirte,31.2089,16.5887,24.6,67,0,3.77,LY,1696097613
287,santo tome,-31.6627,-60.7653,22.25,35,6,3.13,AR,1696097452
288,mahdishahr,35.7108,53.3556,15.9,27,59,0.76,IR,1696097613
289,isafjordur,66.0755,-23.124,7.02,70,75,4.12,IS,1696097613
290,astara,38.5,48.6667,18.99,93,98,1.03,AZ,1696097614
291,saint david's,12.0333,-61.6667,32.69,70,40,5.14,GD,1696097614
292,cabo san lucas,22.8909,-109.9124,36.61,52,0,4.63,MX,1696097541
293,calabozo,8.9242,-67.4293,36.01,45,90,1.65,VE,1696097614
294,kharan,28.5833,65.4167,23.72,12,0,2.71,PK,1696097615
295,uvalde,29.3669,-99.767,31.84,54,75,4.12,US,1696097615
296,huarmey,-10.0681,-78.1522,18.73,89,97,4.94,PE,1696097615
297,epernay,49.05,3.95,17.6,67,67,1.63,FR,1696097615
298,ketchikan,55.3422,-131.6461,9.99,87,20,0.0,US,1696097560
299,tejen,37.3834,60.5054,19.94,26,0,3.9,TM,1696097616
300,yonggwang-up,40.0183,127.4547,11.4,84,5,3.67,KP,1696097616
301,palikir - national government center,6.9248,158.1611,23.41,88,75,1.54,FM,1696097616
302,jiangyou,31.7667,104.7167,20.85,83,100,0.54,CN,1696097616
